UserID,NewUser,Username,Email,Gender,Age,Height,Weight,ActivityLevel,GoalID,DietPreferenceID,RegionID,AllergenID
28001,True,Robert Clark,robert.clark@example.com,Other,57,192,87,Sedentary,5,3,5,10
28002,False,Stephanie White,stephanie.white@example.com,Female,62,183,100,Very Active,2,6,6,10
28003,True,Amanda Davis,amanda.davis@hotmail.com,Other,45,189,61,Active,3,8,3,1
28004,False,Catherine Mitchell,catherine.mitchell@gmail.com,Other,65,178,56,Very Active,4,4,10,6
28005,True,Donna Hill,donna.hill@hotmail.com,Other,46,185,111,Moderately Active,10,7,6,9
28006,False,Elizabeth Carter,elizabeth.carter@hotmail.com,Female,46,162,88,Sedentary,10,2,6,6
28007,True,Lisa Torres,lisa.torres@yahoo.com,Other,28,196,103,Moderately Active,7,7,7,2
28008,True,Sarah Torres,sarah.torres@hotmail.com,Female,39,159,82,Active,1,5,10,1
28009,False,Catherine Lee,catherine.lee@yahoo.com,Other,36,158,144,Very Active,3,7,7,4
28010,False,Charles Jones,charles.jones@hotmail.com,Other,18,197,97,Moderately Active,6,4,1,4
28011,False,Jessica Smith,jessica.smith@yahoo.com,Other,66,159,103,Moderately Active,6,9,10,9
28012,True,Ashley Lee,ashley.lee@gmail.com,Male,41,183,126,Moderately Active,5,4,9,3
28013,True,Donna Brown,donna.brown@hotmail.com,Other,61,163,65,Very Active,7,1,6,1
28014,True,Brandon Perez,brandon.perez@example.com,Other,26,168,57,Sedentary,7,4,9,3
28015,True,David King,david.king@yahoo.com,Male,18,187,146,Moderately Active,1,10,10,2
28016,False,Emma Martin,emma.martin@example.com,Other,64,197,107,Active,1,8,4,4
28017,False,Mark Taylor,mark.taylor@example.com,Other,56,150,80,Sedentary,10,10,6,10
28018,False,Dorothy Davis,dorothy.davis@gmail.com,Male,37,150,114,Sedentary,5,10,4,4
28019,True,Patricia Harris,patricia.harris@gmail.com,Male,67,167,92,Active,7,6,5,7
28020,False,Janet Smith,janet.smith@hotmail.com,Female,63,151,96,Sedentary,5,7,10,6
28021,True,Paul Scott,paul.scott@hotmail.com,Male,69,185,62,Very Active,3,7,1,2
28022,True,Brian Gonzalez,brian.gonzalez@hotmail.com,Female,36,156,147,Sedentary,6,5,1,1
28023,True,Elizabeth Moore,elizabeth.moore@gmail.com,Male,64,150,126,Sedentary,10,2,6,10
28024,False,Kenneth Williams,kenneth.williams@yahoo.com,Male,29,150,91,Sedentary,10,8,6,5
28025,True,Nicole Miller,nicole.miller@yahoo.com,Male,57,160,121,Active,3,9,8,9
28026,True,Mark Johnson,mark.johnson@example.com,Female,39,161,103,Sedentary,3,2,3,8
28027,False,Ronald Taylor,ronald.taylor@example.com,Male,40,196,63,Very Active,2,7,1,8
28028,False,Edward Wilson,edward.wilson@yahoo.com,Male,58,186,137,Active,3,5,7,8
28029,False,Christine Jackson,christine.jackson@gmail.com,Female,60,152,57,Active,7,5,7,2
28030,False,Robert Flores,robert.flores@example.com,Other,38,188,123,Moderately Active,2,3,5,5
28031,True,Debra Clark,debra.clark@example.com,Other,57,183,132,Active,5,7,3,10
28032,True,Ronald Campbell,ronald.campbell@example.com,Female,18,198,142,Sedentary,10,3,2,8
28033,True,George Sanchez,george.sanchez@hotmail.com,Other,30,199,137,Very Active,7,10,9,6
